,City,Latitude,Longitude,Temperature,Cloudiness,Wind Speed,Humidity
477,Ambunti,-4.24,142.84,90.16,48,1.77,59
478,Homer,59.64,-151.55,40.75,1,6.44,73
479,Ayan,56.45,138.17,34.47,100,10.33,88
480,Zhezkazgan,47.8,67.71,28.42,16,10.83,94
481,Tongliao,43.61,122.27,41.67,0,13.73,49
482,Alice Springs,-23.7,133.88,78.8,0,5.82,14
483,San Luis,-33.3,-66.34,67.3,44,13.2,35
484,Konya Province,38.17,32.5,55.4,0,4.38,50
485,Krasnokholm,51.6,54.16,30.02,68,3.36,91
486,Omsukchan,62.53,155.8,16.41,0,3.78,84
487,Waddān,29.16,16.14,63.5,0,9.95,87
488,Krasnosel'kup,65.7,82.47,-1.86,0,14.83,88
489,Stornoway,58.21,-6.39,41.0,100,2.24,93
490,Guigue,10.09,-67.78,72.36,7,3.13,90
491,Bridgwater,51.13,-3.0,47.89,85,1.99,88
492,São João do Piauí,-8.36,-42.25,74.93,100,0.83,84
493,Ankazoabo,-22.28,44.52,70.83,0,5.55,61
494,Itarema,-2.92,-39.92,78.22,100,11.14,81
495,Deming,32.27,-107.76,30.2,90,5.82,100
496,Beausejour,50.06,-96.52,30.49,99,5.01,92
497,Coahuayana Viejo,18.73,-103.68,79.36,90,3.2,88
498,Liaozhong,41.51,122.72,33.8,0,2.24,74
499,Podyuga,61.09,40.86,42.64,100,10.18,89
500,Mehamn,71.04,27.85,35.74,100,7.31,83
501,Mount Isa,-20.73,139.5,78.8,0,14.99,12
502,Praia,14.92,-23.51,78.8,100,14.99,83
503,Alofi,-19.06,-169.92,78.8,40,19.46,69
504,Lola,7.8,-8.53,71.19,14,1.79,74
505,Bulgan,48.81,103.53,33.8,0,2.68,74
506,Paracuru,-3.41,-39.03,80.01,100,18.99,77
507,Rawson,-43.3,-65.1,58.26,0,10.02,34
508,Inverell,-29.78,151.12,73.72,6,4.0,55
509,Tabou,4.42,-7.35,77.81,100,5.5,87
510,Tilichiki,60.47,166.1,26.46,7,9.78,89
511,Coyhaique,-45.58,-72.07,41.0,90,4.7,86
512,Olafsvik,64.89,-23.71,39.04,100,18.19,72
513,Wekiva Springs,28.7,-81.43,78.49,1,9.17,78
514,Sept-Îles,50.2,-66.38,26.64,20,6.93,79
515,Mahon,39.89,4.27,55.4,0,4.7,76
516,Vidor,30.13,-94.02,72.55,90,4.7,100
517,Hamilton,39.18,-84.53,50.27,90,3.4,87
518,Mandalgovi,45.76,106.27,32.52,0,7.02,63
519,Jinxi,30.43,116.29,64.04,93,6.89,79
520,Vagay,57.94,69.02,17.78,27,9.13,94
521,Dingle,11.0,122.67,83.52,41,2.13,76
522,Paamiut,61.99,-49.67,27.88,100,17.58,84
523,Tautira,-17.73,-149.15,82.2,75,19.46,74
524,Mabaruma,8.2,-59.78,75.33,12,2.39,95
525,Bairiki Village,1.33,172.98,86.0,20,5.82,66
526,Phan Thiet,10.93,108.1,78.51,100,14.65,85
527,Elizabeth City,36.29,-76.25,64.18,40,4.74,95
528,Mulatupo,8.95,-77.77,79.5,31,5.14,86
529,Awjilah,29.11,21.29,70.43,0,11.43,40
530,Lanzhou,36.06,103.79,39.99,7,3.56,96
531,Beira,-19.84,34.84,71.6,40,4.7,94
532,Porkhov,57.77,29.56,53.6,96,13.42,87
533,Moissac,44.1,1.09,54.12,90,3.36,87
534,Sretensk,52.25,117.71,26.01,0,3.96,82
535,Finschhafen,-6.6,147.87,85.42,100,7.92,66
536,Zhangjiakou,40.81,114.88,42.51,75,3.53,48
537,Akçakoca,41.09,31.12,62.15,37,2.33,82
538,Ovalle,-30.6,-71.2,55.27,100,1.83,55
539,Yulara,-25.24,130.99,80.6,0,3.36,13
540,Harper,4.38,-7.72,78.04,43,6.62,87
541,San Alberto,7.76,-73.39,76.78,100,4.94,80
542,Puerto Cabezas,14.04,-83.39,80.6,40,4.7,94
543,Morro Bay,35.37,-120.85,69.33,0,3.0,44
544,Buchanan,5.88,-10.05,78.8,75,5.12,94
545,Muros,42.78,-9.06,57.09,100,8.21,90
546,Saint-Joseph,-21.37,55.62,65.21,0,2.24,64
547,Brae,60.4,-1.35,48.2,0,13.87,81
548,Abu Samrah,35.3,37.18,69.89,80,4.54,22
549,Tomari,47.77,142.07,47.89,100,6.62,56
550,Butte,39.65,-121.57,78.87,1,8.05,18
551,Flinders,-34.58,150.86,66.99,98,4.0,73
552,Departamento de Maldonado,-34.67,-54.92,59.0,90,13.87,93
553,Polis,35.04,32.43,64.56,40,5.82,77
554,Marsh Harbour,26.54,-77.06,81.36,92,12.86,80
555,Aktobe,50.28,57.21,23.0,0,4.72,92
556,Luganville,-15.53,167.17,82.4,75,8.05,74
557,Mahon,39.89,4.27,55.4,0,4.7,76
558,Kapit,2.02,112.93,81.99,100,1.7,72
559,Divnoye,45.91,43.35,49.46,100,19.86,73
560,Bouaflé,6.99,-5.74,77.0,50,2.71,94
561,Vardø,70.37,31.11,42.37,100,9.51,94
562,La Malbaie,47.66,-70.16,30.99,0,11.01,65
563,Shirokiy,49.76,129.52,35.98,0,7.09,79
564,Floriano,-6.77,-43.02,77.95,98,2.48,80
565,Fare,-16.7,-151.02,80.55,10,19.42,81
566,Chipinge,-20.19,32.62,59.4,0,4.92,80
567,San Patricio,28.02,-97.52,53.53,90,14.99,81
568,Santo Antônio do Içá,-3.1,-67.94,76.95,100,3.51,93
569,Contamana,-7.33,-75.02,85.03,28,3.74,59
570,Varhaug,58.61,5.65,45.66,100,8.99,99
571,Sobolevo,54.43,31.9,43.14,0,10.85,85
572,Hualmay,-11.1,-77.61,63.48,98,7.78,86
